country,ARIMA_MAE,ARIMA_RMSE,SARIMA_MAE,SARIMA_RMSE,SARIMAX_MAE,SARIMAX_RMSE,Prophet_MAE,Prophet_RMSE,LSTM_MAE,LSTM_RMSE
Belgium,0.16479855460190773,0.21482692500307568,0.13966075444853843,0.15851551792378468,0.30549482569175357,0.3631988214633768,0.5380939351957199,0.5759018660101151,0.8444732064281322,0.928444715665688
Poland,0.7220864707828483,0.8513439507396379,0.3015912007474464,0.3272249780588181,0.3222959364054212,0.39340846651147543,0.4482325043579527,0.48829203274388333,5.912759244195001,5.922252633742864
Slovenia,1.365962760578352,1.485332762819397,0.1986565487383416,0.2386358504882748,0.2658236206315694,0.30623603485135503,0.7826643719976767,0.8855525154065973,1.7318918811468116,1.8438302653773342
New Zealand,0.21167402440187644,0.23269643455401648,0.2162153814968235,0.2403108948604015,0.561585065161438,0.5714858118914202,0.3785176068811644,0.4740187160290754,1.754517916645641,1.7680340412728444
Italy,1.1611122325093985,1.29242715952388,0.4076240447355284,0.42961907534672034,0.35537979747321824,0.4799690300016171,0.3780136495250579,0.4338842959530777,1.3504295532505948,1.4186098489840606
Russia,0.06482763009185977,0.08501569176721205,0.16510592440536964,0.18838760812001454,0.11948712184010102,0.1383805765629503,0.4867227309049955,0.5962070323216367,2.445725526991491,2.4871406770014257
Malta,1.4822720737542392,1.5076476895495343,0.22900760949259702,0.2702135962764431,0.4680933755994543,0.5026425675950497,0.6788404670895316,0.6866820773671122,2.747019633133289,2.7638010449715518
United Arab Emirates,0.358763635381397,0.4040491432503827,0.24414872929169285,0.2734954834728517,0.4819428927635885,0.5808664591844059,0.525008209614251,0.5828862964785335,0.885346698740106,0.9730790305772672
Portugal,0.34163935291040115,0.34334151815969227,0.15483042567240624,0.2047718110627917,0.5499522103173078,0.5502531642628448,1.0293137576851432,1.0487080665558461,0.9170984007129874,1.0339588504514245
Czech Republic,0.24463493660476843,0.27539365098720175,0.20571759523467215,0.2795256824505146,3761.335380243692,4662.307138902631,0.620648560354347,0.6436450584893729,1.946465534128718,1.986102875317086
Iceland,0.27070762583019725,0.3020884294829401,0.16922498679746756,0.2244112231432371,0.4133462572082056,0.6175834115469023,0.4430548447253022,0.46110155324085117,0.7973337980785207,0.8637787345029407
Lithuania,1.0129346860170507,1.0550770988472404,0.3297895146451095,0.3524478962824229,0.17368000134937667,0.22903575713498814,0.4861382095970077,0.5738504763389247,0.36348456654723904,0.4757439419407012
Brazil,0.7820728564064554,0.8436345583701677,0.29136794948712197,0.3066898673759173,0.4190607008050886,0.471348825485622,0.6250603964486325,0.7922853772265415,0.6135946185927557,0.6880746315288415
Greece,0.11290385220987531,0.1286965405032664,0.11210657173583272,0.1343468785909777,0.1985915285905131,0.24352750540124335,0.44225562005647845,0.5058901075833183,2.2743362468798916,2.3079142350316526
Slovakia,0.17351861177121553,0.1920827815775737,0.07884933178697384,0.09145843247988544,0.2133054162988417,0.2303249376382175,0.6006788911025263,0.6377715100356771,0.7287187329507114,0.8224870080835998
Hungary,0.1987652630620822,0.2244379883853506,0.2221044190303374,0.24171246469087307,0.6058401976124639,0.6720320808564687,0.36436559110078326,0.40698676331783584,2.1283918252391953,2.1738795160171946
Malaysia,0.3148737812402205,0.3487462255063735,0.2759713102553869,0.30516148762786893,0.41917666479990867,0.44369850800051447,0.28626881972342,0.2965423624443387,7.557894492827832,7.569740370497922
Mexico,0.08812500718662886,0.10300848730349906,0.18530937444317397,0.19575885485668082,0.18217359890124163,0.21020930960906353,0.3498030873326421,0.41527950064335634,1.9597152268292648,1.9939925288010547
Chile,0.20963586354214803,0.24567512367726405,0.22103383559715484,0.24985796184265838,0.197689796726344,0.23992155105047858,0.3213751018347222,0.4449447239681292,0.48270946393219205,0.6424514996493607
Argentina,0.1826293600265405,0.1973683914767179,0.23314210082357523,0.2512504870889763,0.20534638930168336,0.22877205636976192,0.38525721895063425,0.4672999981615595,0.5390965689723641,0.675801506534935
Qatar,0.21500544440806024,0.2800291072097223,0.17688433563466255,0.2222813162430827,0.310454848102959,0.4998556883076837,0.5815158039580504,0.6326018961911167,2.0523822839631825,2.088879508996411
Turkey,0.09702594325270075,0.1001393301572552,0.06261946039831656,0.06971070696694426,0.12825723003645884,0.13039515624381942,0.15502918917315567,0.20318827756712976,3.4992183380616457,3.5054191022613037
Colombia,0.08733054858052869,0.10960072870480911,0.07248862547342894,0.11364131255107478,0.076727557230861,0.07827740732887058,0.3344924132228768,0.37673847199694843,2.045222299977314,2.0650611022463674
Uruguay,0.3079061032422752,0.3680954637835151,0.04832112053008997,0.06401202926330427,0.21178419351024802,0.2240909704212932,0.3276567751015893,0.36490119762782525,5.616510684762206,5.620475697800989
Bahrain,0.47301680984512506,0.5149983366187322,0.1734662619174343,0.19518736006044873,0.43149273768958274,0.5207904490525586,0.35614178946913455,0.38089568277736446,4.525116421012532,4.530318528601334
Vietnam,0.3966379708842007,0.4818069658229697,0.04450263843979174,0.07234943949664294,0.11483821224496538,0.1198129900495537,0.2177193252206684,0.23997596393267875,4.333193026720781,4.338376813246588
Indonesia,0.07161440153140397,0.11145186295750734,0.06915329289278782,0.09326870712668289,0.3763556284981622,0.4356530452878647,0.18938964102737543,0.21253419743486243,1.0101823041985964,1.016038476302112
Tunisia,0.11774511711399871,0.12518230694672525,0.07829376073797123,0.08724728425202789,0.2741838554939391,0.313036528537628,0.2459524243262976,0.2711317926110302,0.36195925478323954,0.45089810381392953
South Africa,0.20277996543178434,0.23168804579329974,0.1862806425279926,0.24057886452638488,0.11548187944706978,0.14059881088672574,0.12477547988593551,0.14726253086459168,5.5667526739053965,5.569169267662354
Morocco,0.13584844267781282,0.1770060634875505,0.09893427914046216,0.1225217633490896,0.237199682811295,0.2525270522662025,0.11523558028764702,0.12284945690743865,0.9576746629903594,0.9614981083668941
Armenia,0.54036308567706,0.5834196858491237,0.08984902754794688,0.10337804826309244,0.20189771817037783,0.25943172499858813,0.2395309352699706,0.27179995647858934,2.881766362543376,2.888422227192827
Sri Lanka,0.05108445945627982,0.0589410647820778,0.06313992159701232,0.07126277069760116,0.32818203628730735,0.3653401358432755,0.10515456546197366,0.12985871857407763,0.667677490199325,0.6819798607563627
Egypt,0.026727756899742383,0.037746462892443454,0.05099027613498208,0.06547837181279743,0.04069574764661765,0.05443987390476308,0.07666464616308732,0.08624075462620391,1.5135643583508753,1.5145832308165954
Kenya,0.01655814409966483,0.02172995869097073,0.008274575167572573,0.009377487635643313,0.02692341102302198,0.028661856453220835,0.04299584231632614,0.04994710401176193,0.3476386434530858,0.3509582158427238
Nigeria,0.012162009460596424,0.013969114967839532,0.0169295378115894,0.017477182138760587,0.11126590455093555,0.11228770522396894,0.040319444378606406,0.04687757499630872,0.4015756348929575,0.40336665163417623
Pakistan,0.0,0.0,0.0,0.0,2.5077060323886145e-06,2.5342452487584948e-06,0.0,0.0,0.0,0.0
